"Browser","Browser Version","Short Browser Version","Engine","Engine Version","OS","OS Version","measurement","showlatency","hidellatency","delay","measuredto"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","68700","108672","100","102"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67544","108656","110","112"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67668","158824","150","152"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67420","108920","100","102"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67540","108904","110","111"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67156","159096","150","153"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67560","108684","100","102"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67804","108528","110","111"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67672","158824","150","151"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67556","108680","100","101"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","84440","108520","110","114"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67672","175472","150","170"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67824","141960","100","102"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67540","108776","110","110"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67388","158944","150","150"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67808","108648","100","101"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67784","108384","110","112"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67796","158704","150","155"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","68564","108656","100","102"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","68708","108672","110","113"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67672","158696","150","151"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67548","108768","100","102"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67540","108776","110","112"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67672","158824","150","151"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67684","108520","100","104"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67672","108656","110","112"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","84312","142080","150","150"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","68716","108640","100","102"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","68820","108520","110","112"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67544","158848","150","152"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67560","108648","100","100"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","84440","108640","110","114"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67684","158728","150","151"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","84456","91896","100","101"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","69716","108664","110","111"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67288","159200","150","151"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","101084","125304","100","103"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","83160","92008","110","114"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","69976","158568","150","153"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67676","108640","100","101"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67544","108776","110","111"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67552","158816","150","155"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67548","108904","100","102"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67672","108544","110","113"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67672","158832","150","152"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","68564","108776","100","101"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","68568","108672","110","111"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67544","158824","150","154"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67680","108640","100","102"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67540","108776","110","111"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67416","159080","150","152"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67432","108904","100","101"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67544","108656","110","115"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67676","158728","150","152"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","68712","108640","100","102"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","68564","108656","110","114"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","68696","142056","150","150"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67680","108656","100","101"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67904","108400","110","115"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67556","158856","150","152"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","68708","108672","100","104"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","68580","108672","110","114"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67544","158832","150","152"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67672","108648","100","101"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67552","108768","110","115"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67412","159080","150","151"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67676","108552","100","104"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67540","108776","110","115"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","84056","142312","150","152"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","68704","108672","100","102"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","68576","2152","110","113"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","78168","142056","150","152"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67548","108768","100","102"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67416","108904","110","113"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67412","159072","150","155"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67036","92520","100","100"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","70844","108536","110","115"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67680","158816","150","152"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67416","108904","100","101"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67424","108768","110","114"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67668","158816","150","151"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67676","108656","100","101"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67676","108528","110","114"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67776","158696","150","153"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","68564","108784","100","103"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67672","108672","110","115"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67552","158816","150","152"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67412","108904","100","102"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67668","108648","110","110"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67284","159208","150","152"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67548","108656","100","101"
