"Browser","Browser Version","Short Browser Version","Engine","Engine Version","OS","OS Version","Measurement","showlatency","hidelatency","delay","measuredto"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","51940","141064","150","150"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","51800","91120","100","101"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","53588","108136","110","111"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","51676","141288","150","151"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","51688","91232","100","100"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","53852","107872","110","111"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","51284","141672","150","151"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","51548","91368","100","101"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","51796","107760","110","110"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","51672","141416","150","151"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","52820","91128","100","101"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","53852","107772","110","110"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","52828","3936","150","151"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","59480","91248","100","101"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","53848","107760","110","111"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","51796","141408","150","151"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","52564","91240","100","101"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","53720","108008","110","110"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","52704","141320","150","151"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","51556","91240","100","101"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","53600","108128","110","111"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","51676","141424","150","150"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","51548","91256","100","101"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","53716","108024","110","111"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","51672","141288","150","151"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","51544","91360","100","101"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","53844","107880","110","111"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","51420","141544","150","151"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","51668","91240","100","101"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","53716","107888","110","111"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","52696","141440","150","150"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","52576","91264","100","101"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","53336","108288","110","110"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","51672","141416","150","151"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","51672","91240","100","101"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","53592","108128","110","110"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","51424","141544","150","151"
