"","showlatency","hidelatency","delay"
"2149",69.98,52.872,50
"2150",71.704,102.4,100
"2151",80.224,102.384,110
"2152",80.216,1001.808,1000
"2153",69.98,52.884,50
"2154",71.688,102.4,100
"2155",80.22,104.104,110
"2156",76.8,1003.52,1000
"2157",69.98,52.88,50
"2158",71.688,100.688,100
"2159",81.916,104.108,110
"2160",76.804,1003.512,1000
"2161",68.276,52.868,50
"2162",73.408,104.104,100
"2163",76.808,102.4,110
"2164",80.224,1001.816,1000
"2165",69.984,52.872,50
"2166",71.696,102.4,100
"2167",80.224,102.4,110
"2168",80.216,1003.52,1000
"2169",66.552,52.896,50
"2170",73.408,104.112,100
"2171",78.512,100.704,110
"2172",81.916,1000.112,1000
"2173",69.972,54.58,50
"2174",71.696,102.4,100
"2175",78.512,104.096,110
"2176",78.5,1001.812,1000
"2177",69.98,52.88,50
"2178",71.7,102.392,100
"2179",80.216,104.1,110
"2180",78.508,1003.52,1000
"2181",66.576,52.872,50
"2182",73.416,104.104,100
"2183",78.516,102.4,110
"2184",80.204,1001.808,1000
"2185",68.296,54.56,50
"2186",71.7,104.108,100
"2187",76.808,104.092,110
"2188",78.516,1001.804,1000
"2189",69.976,52.888,50
"2190",71.704,102.388,100
"2191",80.2,102.4,110
"2192",80.204,1003.528,1000
"2193",68.288,52.864,50
"2194",71.692,102.4,100
"2195",80.228,104.108,110
"2196",78.5,1000.104,1000
"2197",71.664,52.888,50
"2198",71.704,102.4,100
"2199",78.508,104.096,110
"2200",78.528,1003.512,1000
