"Browser","Browser Version","Short Browser Version","Engine","Engine Version","OS","OS Version","Measurement","showlatency","hidelatency","delay","measuredto"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","1796","5120","50","59"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","1800","5128","100","113"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","1796","6824","110","117"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","96","360040","1000","1003"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","88","5124","50","49"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","1808","6840","100","110"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","1796","6824","110","115"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","88","349868","1000","1010"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","1796","5120","50","59"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","1800","6840","100","113"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","1796","5128","110","117"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","92","339652","1000","999"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","92","6840","50","56"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","1804","5136","100","113"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","3496","5120","110","118"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","100","360100","1000","1015"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","88","6832","50","59"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","1812","5120","100","100"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","1796","6816","110","121"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","88","348092","1000","1003"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","1792","5120","50","50"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","3504","5112","100","104"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","1796","6824","110","124"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","88","349908","1000","1004"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","88","6828","50","52"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","1804","6848","100","110"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","1796","6824","110","114"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","92","358364","1000","1004"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","88","6836","50","50"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","1808","6832","100","105"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","1800","6832","110","111"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","88","348164","1000","1008"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","3504","5112","50","56"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","1800","6832","100","108"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","1796","5136","110","112"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","96","358336","1000","1010"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","1800","6832","50","65"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","1820","5120","100","101"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","3500","5120","110","123"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","88","339648","1000","1004"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","1804","5120","50","60"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","1796","6832","100","99"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","1800","6832","110","116"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","88","339668","1000","999"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","1800","5128","50","56"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","1808","6840","100","110"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","1792","6824","110","115"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","92","358416","1000","1000"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","92","6828","50","49"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","1808","6844","100","105"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","1800","6832","110","111"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","92","368612","1000","1011"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","1796","5120","50","51"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","1796","6832","100","105"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","1800","5124","110","122"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","96","360140","1000","1012"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","88","6820","50","60"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","1796","5120","100","100"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","3504","5120","110","122"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","88","360124","1000","1010"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","88","5120","50","56"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","3512","5128","100","113"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","3496","5120","110","118"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","88","360136","1000","1005"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","88","5124","50","49"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","3512","5120","100","110"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","3504","5112","110","115"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","88","349888","1000","1013"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","1796","5112","50","60"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","1812","6824","100","113"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","1808","6848","110","118"
