"Browser","Browser Version","Short Browser Version","Engine","Engine Version","OS","OS Version","Measurement","delay","latency"
"Firefox","53.0","53","Gecko","53.0","Ubuntu","undefined","minno","50","50"
"Firefox","53.0","53","Gecko","53.0","Ubuntu","undefined","minno","150","150"
"Firefox","53.0","53","Gecko","53.0","Ubuntu","undefined","minno","300","300"
"Firefox","53.0","53","Gecko","53.0","Ubuntu","undefined","minno","800","800"
"Firefox","53.0","53","Gecko","53.0","Ubuntu","undefined","minno","50","50"
"Firefox","53.0","53","Gecko","53.0","Ubuntu","undefined","minno","150","150"
"Firefox","53.0","53","Gecko","53.0","Ubuntu","undefined","minno","300","300"
"Firefox","53.0","53","Gecko","53.0","Ubuntu","undefined","minno","800","800"
"Firefox","53.0","53","Gecko","53.0","Ubuntu","undefined","minno","50","50"
"Firefox","53.0","53","Gecko","53.0","Ubuntu","undefined","minno","150","149"
"Firefox","53.0","53","Gecko","53.0","Ubuntu","undefined","minno","300","300"
"Firefox","53.0","53","Gecko","53.0","Ubuntu","undefined","minno","800","800"
"Firefox","53.0","53","Gecko","53.0","Ubuntu","undefined","minno","50","52"
"Firefox","53.0","53","Gecko","53.0","Ubuntu","undefined","minno","150","150"
"Firefox","53.0","53","Gecko","53.0","Ubuntu","undefined","minno","300","300"
"Firefox","53.0","53","Gecko","53.0","Ubuntu","undefined","minno","800","799"
"Firefox","53.0","53","Gecko","53.0","Ubuntu","undefined","minno","50","50"
"Firefox","53.0","53","Gecko","53.0","Ubuntu","undefined","minno","150","150"
"Firefox","53.0","53","Gecko","53.0","Ubuntu","undefined","minno","300","300"
"Firefox","53.0","53","Gecko","53.0","Ubuntu","undefined","minno","800","800"
"Firefox","53.0","53","Gecko","53.0","Ubuntu","undefined","minno","50","49"
"Firefox","53.0","53","Gecko","53.0","Ubuntu","undefined","minno","150","150"
"Firefox","53.0","53","Gecko","53.0","Ubuntu","undefined","minno","300","300"
"Firefox","53.0","53","Gecko","53.0","Ubuntu","undefined","minno","800","800"
"Firefox","53.0","53","Gecko","53.0","Ubuntu","undefined","minno","50","50"
"Firefox","53.0","53","Gecko","53.0","Ubuntu","undefined","minno","150","150"
"Firefox","53.0","53","Gecko","53.0","Ubuntu","undefined","minno","300","299"
"Firefox","53.0","53","Gecko","53.0","Ubuntu","undefined","minno","800","800"
"Firefox","53.0","53","Gecko","53.0","Ubuntu","undefined","minno","50","50"
"Firefox","53.0","53","Gecko","53.0","Ubuntu","undefined","minno","150","150"
"Firefox","53.0","53","Gecko","53.0","Ubuntu","undefined","minno","300","300"
"Firefox","53.0","53","Gecko","53.0","Ubuntu","undefined","minno","800","800"
"Firefox","53.0","53","Gecko","53.0","Ubuntu","undefined","minno","50","50"
"Firefox","53.0","53","Gecko","53.0","Ubuntu","undefined","minno","150","151"
"Firefox","53.0","53","Gecko","53.0","Ubuntu","undefined","minno","300","300"
"Firefox","53.0","53","Gecko","53.0","Ubuntu","undefined","minno","800","800"
"Firefox","53.0","53","Gecko","53.0","Ubuntu","undefined","minno","50","50"
"Firefox","53.0","53","Gecko","53.0","Ubuntu","undefined","minno","150","150"
"Firefox","53.0","53","Gecko","53.0","Ubuntu","undefined","minno","300","300"
"Firefox","53.0","53","Gecko","53.0","Ubuntu","undefined","minno","800","800"
"Firefox","53.0","53","Gecko","53.0","Ubuntu","undefined","minno","50","50"
"Firefox","53.0","53","Gecko","53.0","Ubuntu","undefined","minno","150","150"
"Firefox","53.0","53","Gecko","53.0","Ubuntu","undefined","minno","300","300"
"Firefox","53.0","53","Gecko","53.0","Ubuntu","undefined","minno","800","800"
"Firefox","53.0","53","Gecko","53.0","Ubuntu","undefined","minno","50","50"
"Firefox","53.0","53","Gecko","53.0","Ubuntu","undefined","minno","150","149"
"Firefox","53.0","53","Gecko","53.0","Ubuntu","undefined","minno","300","300"
"Firefox","53.0","53","Gecko","53.0","Ubuntu","undefined","minno","800","799"
"Firefox","53.0","53","Gecko","53.0","Ubuntu","undefined","minno","50","50"
"Firefox","53.0","53","Gecko","53.0","Ubuntu","undefined","minno","150","150"
"Firefox","53.0","53","Gecko","53.0","Ubuntu","undefined","minno","300","300"
"Firefox","53.0","53","Gecko","53.0","Ubuntu","undefined","minno","800","800"
"Firefox","53.0","53","Gecko","53.0","Ubuntu","undefined","minno","50","49"
"Firefox","53.0","53","Gecko","53.0","Ubuntu","undefined","minno","150","149"
"Firefox","53.0","53","Gecko","53.0","Ubuntu","undefined","minno","300","300"
"Firefox","53.0","53","Gecko","53.0","Ubuntu","undefined","minno","800","800"
"Firefox","53.0","53","Gecko","53.0","Ubuntu","undefined","minno","50","50"
"Firefox","53.0","53","Gecko","53.0","Ubuntu","undefined","minno","150","150"
"Firefox","53.0","53","Gecko","53.0","Ubuntu","undefined","minno","300","300"
"Firefox","53.0","53","Gecko","53.0","Ubuntu","undefined","minno","800","800"
"Firefox","53.0","53","Gecko","53.0","Ubuntu","undefined","minno","50","50"
"Firefox","53.0","53","Gecko","53.0","Ubuntu","undefined","minno","150","150"
"Firefox","53.0","53","Gecko","53.0","Ubuntu","undefined","minno","300","300"
"Firefox","53.0","53","Gecko","53.0","Ubuntu","undefined","minno","800","800"
"Firefox","53.0","53","Gecko","53.0","Ubuntu","undefined","minno","50","50"
"Firefox","53.0","53","Gecko","53.0","Ubuntu","undefined","minno","150","149"
"Firefox","53.0","53","Gecko","53.0","Ubuntu","undefined","minno","300","300"
"Firefox","53.0","53","Gecko","53.0","Ubuntu","undefined","minno","800","800"
"Firefox","53.0","53","Gecko","53.0","Ubuntu","undefined","minno","50","49"
"Firefox","53.0","53","Gecko","53.0","Ubuntu","undefined","minno","150","149"
"Firefox","53.0","53","Gecko","53.0","Ubuntu","undefined","minno","300","300"
"Firefox","53.0","53","Gecko","53.0","Ubuntu","undefined","minno","800","800"
"Firefox","53.0","53","Gecko","53.0","Ubuntu","undefined","minno","50","50"
