delay,latency
50,50
150,150
300,300
50,50
150,150
300,300
50,50
150,150
300,300
50,50
150,150
300,300
50,50
150,150
300,300
50,50
150,150
300,300
50,50
150,150
300,300
50,50
150,150
300,300
50,50
150,150
300,300
50,50
150,150
300,300
50,50
150,150
300,300
50,50
150,150
300,300
50,50
150,150
300,300
50,50
150,150
300,300
50,50
150,150
300,300
50,50
150,150
300,300
50,50
150,150
300,300
50,50
150,150
300,300
50,50
150,150
300,300
50,50
150,150
300,300
50,50
150,150
300,300
50,50
150,150
300,300
50,50
150,150
300,300
50,50
150,150
300,300
50,50
150,150
300,300
50,50
150,150
300,300
50,50
150,150
300,300
50,50
150,150
300,300
50,50
150,150
300,300
50,50
150,150
300,300
50,50
150,150
300,300
50,50
150,150
300,300
50,50
150,150
300,300
50,50
150,150
300,300
50,50
150,150
300,300
50,50
150,150
300,300
50,50
150,150
300,300
50,50
150,150
300,300
50,50
150,150
300,300
50,50
150,150
300,300
50,50
150,150
300,300
50,50
150,150
300,300
50,50
150,150
300,300
50,50
150,150
300,300
50,50
150,150
300,300
50,50
150,150
300,300
50,50
150,150
300,300
50,50
150,150
300,300
50,50
150,150
300,300
50,50
150,150
300,300
50,50
150,150
300,300
50,50
150,150
300,300
50,50
150,150
300,300
50,50
150,150
300,300
50,50
150,150
300,300
50,50
150,150
300,300
50,50
150,150
300,300
50,50
150,150
300,300
50,50
150,150
300,300
50,50
150,150
300,300
50,50
150,150
300,300
50,50
150,150
300,300
50,50
150,150
300,300
50,50
150,150
300,300
50,50
150,150
300,300
50,50
150,150
300,300
50,50
150,150
300,300
50,50
150,150
300,300
50,50
150,150
300,300
50,50
150,150
300,300
50,50
150,150
300,300
50,50
150,150
300,300
50,50
150,150
300,300
50,50
150,150
300,300
50,50
150,150
300,300
50,50
150,150
300,300
50,50
150,150
300,300
50,50
150,150
300,300
50,50
150,150
300,300
50,50
150,150
300,300
50,50
150,150
300,300
50,50
150,150
300,300
50,50
150,150
300,300
50,50
150,150
300,300
50,50
150,150
300,300
50,50
150,150
300,300
50,50
150,150
300,300
50,50
150,150
300,300
50,50
150,150
300,300
50,50
150,150
300,300
50,50
150,150
300,300
50,50
150,150
300,300
50,50
150,150
300,300
50,50
150,150
300,300
50,50
150,150
300,300
50,50
150,150
300,300
50,50
150,150
300,300
50,50
150,150
300,300
50,50
150,150
300,300
50,50
150,150
300,300
